Title,Relevant,Notes,Link,Authors,Abstract,Venue,Year
Designing for serendipity: a means or an end?,,,https://doi.org/10.1108/JD-12-2021-0234,"['Smets, Annelien']","Purpose This article aims to gain a better understanding of the reasons why serendipity is designed for in different kinds of environments. Understanding these design intents sheds light on the value such designs bring to designers, in contrast to the users of the environment. In this way, the article seeks to contribute to the literature on cultivating serendipity from a designers’ point of view. Design/methodology/approach An extensive review of the literature discussing designing for serendipity was conducted to elicit the different motivations to design for serendipity. Based on these findings and a thorough analysis, a typology of design intents for serendipity is presented. Findings The article puts forward four intents to design for serendipity: serendipity as an ideal, common good, mediator and feature. It also highlights that the current academic discourse puts a strong emphasis on two of them. It is argued that this academic abstraction could be problematic for how we deal with designs for serendipity, both in theory and practice. Originality/value The novelty of this article is that it addresses the question of why to design for serendipity from a designer’s point of view. By introducing the notion of directionality it opens up the opportunity to discuss serendipity from multiple perspectives, which contributes to gaining a firmer understanding of serendipity. It allows to more explicitly formulate the different functions of a design for serendipity and thereby expands our knowledge on the value of designing for serendipity. At the same time, it sheds light on the potential threats to designing for serendipity.",Journal of Documentation,2023
What do they make us see: a comparative study of cultural bias in online databases of two large museums,,,https://doi.org/10.1108/JD-02-2022-0047,"['Zhitomirsky-Geffet, Maayan', 'Kizhner, Inna', 'Minster, Sara']","Purpose Large cultural heritage datasets from museum collections tend to be biased and demonstrate omissions that result from a series of decisions at various stages of the collection construction. The purpose of this study is to apply a set of ethical criteria to compare the level of bias of six online databases produced by two major art museums, identifying the most biased and the least biased databases. Design/methodology/approach At the first stage, the relevant data have been automatically extracted from all six databases and mapped to a unified ontological scheme based on Wikidata. Then, the authors applied ethical criteria to the results of the geographical distribution of records provided by two major art museums as online databases accessed via museums' websites, API datasets and datasets submitted to Wikidata. Findings The authors show that the museums use different artworks in each of its online databases and each data-base has different types of bias reflected by the study variables, such as artworks' country of origin or the creator's nationality. For most variables, the database behind the online search system on the museum's website is more balanced and ethical than the API dataset and Wikidata databases of the two museums. Originality/value By applying ethical criteria to the analysis of cultural bias in various museum databases aimed at different audiences including end users, researchers and commercial institutions, this paper shows the importance of explicating bias and maintaining integrity in cultural heritage representation through different channels that potentially have high impact on how culture is perceived, disseminated, contextualized and transformed.",Journal of Documentation,2023
User conceptualizations of derivative relationships in the bibliographic universe,,,https://doi.org/10.1108/JD-10-2017-0139,"['Tallerås, Kim', 'Dahl, Jørn Helge B.', 'Pharo, Nils']","Purpose Considerable effort is devoted to developing new models for organizing bibliographic metadata. However, such models have been repeatedly criticized for their lack of proper user testing. The purpose of this paper is to present a study on how non-experts in bibliographic systems map the bibliographic universe and, in particular, how they conceptualize relationships between independent but strongly related entities. Design/methodology/approach The study is based on an open concept-mapping task performed to externalize the conceptualizations of 98 novice students. The conceptualizations of the resulting concept maps are identified and analyzed statistically. Findings The study shows that the participants’ conceptualizations have great variety, differing in detail and granularity. These conceptualizations can be categorized into two main groups according to derivative relationships: those that apply a single-entity model directly relating document entities and those (the majority) that apply a multi-entity model relating documents through a high-level collocating node. These high-level nodes seem to be most adequately interpreted either as superwork devices collocating documents belonging to the same bibliographic family or as devices collocating documents belonging to a shared fictional world. Originality/value The findings can guide the work to develop bibliographic standards. Based on the diversity of the conceptualizations, the findings also emphasize the need for more user testing of both conceptual models and the bibliographic end-user systems implementing those models.",Journal of Documentation,2018
Music questions in social Q&A: an analysis of Yahoo! Answers,,,https://doi.org/10.1108/JD-02-2017-0024,"['Hertzum, Morten', 'Borlund, Pia']","Purpose Social question and answer (social Q&A) sites have become a popular tool for obtaining music information. The purpose of this paper is to investigate what users ask about, what experience the questions convey, and how users specify their questions. Design/methodology/approach A total of 3,897 music questions from the social Q&A site Yahoo! Answers were categorized according to their question type, user experience, and question specification. Findings The music questions were diverse with (dis)approval (42 percent), factual (21 percent), and advice (15 percent) questions as the most frequent types. Advice questions were the longest and roughly twice as long as (dis)approval and factual questions. The user experience associated with the questions was most often pragmatic (24 percent) or senso-emotional (12 percent). Pragmatic questions were typically about the user’s own performance of music, while senso-emotional questions were about finding music for listening. Notably, half of the questions did not convey information about the user experience but the absence of such information did not reduce the number of answers. In specifying the questions, the most frequent information was about the music context and the user context. Research limitations/implications This study suggests a division of labor between social Q&A sites and search engines for music information retrieval. It should be noted that the study is restricted to one social Q&A site. Originality/value Social Q&A sites provide an opportunity for studying what information real users seek about music and what information they specify to retrieve it, thereby elucidating the role of social Q&A in music information seeking.",Journal of Documentation,2017
Serendipity in human information behavior: a systematic review,,,https://doi.org/10.1108/JD-02-2021-0029,"['Liu, Yaxi', 'Qin, Chunxiu', 'Ma, Xubu', 'Liang, Huigang']","Purpose Serendipitous information discovery has become a unique and important approach to discovering and obtaining information, which has aroused a growing interest for serendipity in human information behavior. Despite numerous publications, few have systematically provided an overview of current state of serendipity research. Consequently, researchers and practitioners are less able to make effective use of existing achievements, which limits them from making advancements in this domain. Against this backdrop, we performed a systematic literature review to explore the world of serendipity and to recapitulate the current states of different research topics. Design/methodology/approach Guided by a prior designed review protocol, this paper conducted both automatic and manual search for available studies published from January 1990 to December 2020 on seven databases. A total of 207 serendipity studies closely related to human information behavior form the literature pool. Findings We provide an overview of distinct aspects of serendipity, that is research topics, potential benefits, related concepts, theoretical models, contextual factors and data collection methods. Based on these findings, this review reveals limitations and gaps in the current serendipity research and proposes an agenda for future research directions. Originality/value By analyzing current serendipity research, developing a knowledge framework and providing a research agenda, this review is of significance for researchers who want to find new research questions or re-align current work, for beginners who need to quickly understand serendipity, and for practitioners who seek to cultivate serendipity in information environments.",Journal of Documentation,2022
Review of Beyond Bibliometrics: Harnessing Multidimensional Indicators of Scholarly Impact,,,https://doi.org/10.1108/JD-09-2014-0132,missing,missing,Journal of Documentation,2015
Information encountering re-encountered,,,https://doi.org/10.1108/JD-08-2019-0151,"['Erdelez, Sanda', 'Makri, Stephann']","Purpose In order to understand the totality, diversity and richness of human information behavior, increasing research attention has been paid to examining serendipity in the context of information acquisition. However, several issues have arisen as this research subfield has tried to find its feet; we have used different, inconsistent terminology to define this phenomenon (e.g. information encountering, accidental information discovery, incidental information acquisition), the scope of the phenomenon has not been clearly defined and its nature was not fully understood or fleshed-out. Design/methodology/approach In this paper, information encountering (IE) was proposed as the preferred term for serendipity in the context of information acquisition. Findings A reconceptualized definition and scope of IE was presented, a temporal model of IE and a refined model of IE that integrates the IE process with contextual factors and extends previous models of IE to include additional information acquisition activities pre- and postencounter. Originality/value By providing a more precise definition, clearer scope and richer theoretical description of the nature of IE, there was hope to make the phenomenon of serendipity in the context of information acquisition more accessible, encouraging future research consistency and thereby promoting deeper, more unified theoretical development.",Journal of Documentation,2020
Three key affordances for serendipity,,,https://doi.org/10.1108/JD-07-2016-0097,"['Björneborn, Lennart']","Purpose Serendipity is an interesting phenomenon to study in information science as it plays a fundamental – but perhaps underestimated – role in how we discover, explore, and learn in all fields of life. The purpose of this paper is to operationalize the concept of serendipity by providing terminological “building blocks” for understanding connections between environmental and personal factors in serendipitous encounters. Understanding these connections is essential when designing affordances in physical and digital environments that can facilitate serendipity. Design/methodology/approach In this paper, serendipity is defined as what happens when we, in unplanned ways, encounter resources (information, things, people, etc.) that we find interesting. In the outlined framework, serendipity is understood as an affordance, i.e., a usage potential when environmental and personal factors correspond with each other. The framework introduces three key affordances for facilitating serendipity: diversifiability, traversability, and sensoriability, covering capacities of physical and digital environments to be diversified, traversed, and sensed. The framework is structured around couplings between the three key affordances and three key personal serendipity factors: curiosity, mobility, and sensitivity. Ten sub-affordances for serendipity and ten coupled personal sub-factors are also briefly outlined. Related research is compared with and mapped into the framework aiming at a theoretical validation. The affordance approach to serendipity is discussed, including different degrees and types of serendipity. Findings All the terminological “building blocks” in the framework are seen to resonate with the included related research. Serendipity is found to be a commonplace phenomenon in everyday life. It is argued that we cannot “engineer” nor “design” serendipity per se, but can design affordances for serendipity. Serendipity may thus be intended by designers, but must always be unplanned by users. The outlined affordance approach to serendipity points to the importance of our sensory-motor abilities to discover and explore serendipitous affordances. Research limitations/implications Implications of the framework for designing physical and digital environments with affordances for serendipity are briefly considered. It is suggested that physical environments may have a primacy regarding affordances of sensoriability for facilitating serendipity, and digital environments a primacy regarding traversability, whereas physical and digital environments may afford similar degrees of diversifiability. In future research, the framework needs further empirical validation in physical and digital environments. Originality/value No other research has been found addressing affordances for serendipity and connections between environmental and personal factors in similarly detailed ways. The outlined framework and typology may function as a baseline for further serendipity studies.",Journal of Documentation,2017
Information literacy as a site for anticipation: temporal tactics for infrastructural meaning-making and algo-rhythm awareness,,,https://doi.org/10.1108/JD-11-2020-0204,"['Haider, Jutta', 'Sundin, Olof']","Purpose The article makes an empirical and conceptual contribution to understanding the temporalities of information literacies. The paper aims to identify different ways in which anticipation of certain outcomes shapes strategies and tactics for engagement with algorithmic information intermediaries. The paper suggests that, given the dominance of predictive algorithms in society, information literacies need to be understood as sites of anticipation. Design/methodology/approach The article explores the ways in which the invisible algorithms of information intermediaries are conceptualised, made sense of and challenged by young people in their everyday lives. This is couched in a conceptual discussion of the role of anticipation in understanding expressions of information literacies in algorithmic cultures. The empirical material drawn on consists of semi-structured, pair interviews with 61 17–19 year olds, carried out in Sweden and Denmark. The analysis is carried out by means of a qualitative thematic analysis in three steps and along two sensitising concepts – agency and temporality. Findings The results are presented through three themes, anticipating personalisation, divergences and interventions. These highlight how articulating an anticipatory stance works towards connecting individual responsibilities, collective responsibilities and corporate interests and thus potentially facilitating an understanding of information as co-constituted by the socio-material conditions that enable it. This has clear implications for the framing of information literacies in relation to algorithmic systems. Originality/value The notion of algo-rhythm awareness constitutes a novel contribution to the field. By centring the role of anticipation in the emergence of information literacies, the article advances understanding of the temporalities of information.",Journal of Documentation,2022
Innovation in Information Retrieval: Perspectives for Theory and Practice,,,https://doi.org/10.1108/00220411311300101,missing,missing,Journal of Documentation,2013
Socially meaningful transparency in data-based systems: reflections and proposals from practice,,,https://doi.org/10.1108/JD-01-2023-0006,"['Bates, Jo', 'Kennedy, Helen', 'Medina Perea, Itzelle', 'Oman, Susan', 'Pinney, Lulu']","Purpose The purpose is to present proposals to foster what we call a socially meaningful transparency practice that aims to enhance public understanding of data-based systems through the production of accounts that are relevant and useful to diverse publics, and society more broadly. Design/methodology/approach The authors’ proposals emerge from reflections on challenges they experienced producing written and visual accounts of specific public sector data-based systems for research purposes. Following Ananny and Crawford's call to see limits to transparency practice as “openings”, the authors put their experience into dialogue with the literature to think about how we might chart a way through the challenges. Based on these reflections, the authors outline seven proposals for fostering socially meaningful transparency. Findings The authors identify three transparency challenges from their practice: information asymmetry, uncertainty and resourcing. The authors also present seven proposals related to reduction of information asymmetries between organisations and non-commercial external actors, enhanced legal rights to access information, shared decision making about what gets made transparent, making visible social impacts and uncertainties of data-systems, clear and accessible communication, timing of transparency practices and adequate resourcing. Social implications Socially meaningful transparency aims to enhance public understanding of data-based systems. It is therefore a necessary condition not only for informed use of data-based products, but crucially for democratic engagement in the development of datafied societies. Originality/value The paper contributes to existing debates on meaningful transparency by arguing for a more social, rather than individual, approach to imagining how to make transparency practice more meaningful. The authors do this through their empirical reflection on our experience of doing transparency, conceptually through our notion of socially meaningful transparency, and practically through our seven proposals.",Journal of Documentation,2024
"Confluence between library and information science and digital humanities in Spain. Methodologies, standards and collections",,,https://doi.org/10.1108/JD-02-2020-0030,"['Alvite-Díez, María-Luisa', 'Barrionuevo, Leticia']","Purpose The purpose of this paper is to study the relevance of heritage collections and the convergence of methodologies and standards traditionally linked to Library and Information Science (LIS) in the development of digital humanities (DH) research in Spain. Design/methodology/approach This paper is based on a systematic review of scientific publications that are representative of DH in Spain and were published between 2013 and 2018. The analysis considered doctoral theses, journal articles and conference papers. Findings The results highlight the synergies between documentary heritage, LIS and DH. However, it appears that there is a scarcity of scientific literature to support the confluence of LIS and DH and a limited formal connection between heritage institutions and the areas of academia that reuse and enrich these source collections. Research limitations/implications The review of representative scholarly DH publications was mainly based on the metadata that describe the content of articles, thesis and conference papers. This work relies on the thematic indexing (descriptors and keywords) of the analysed documents but their level of quality and consistency is very diverse. Originality/value The topic of the study has not been explored before and this work could contribute to the international debate on the interrelation and complementarity between LIS and DH. In addition, this paper shows the contribution that standards and documentary methodologies make to projects in which technology is applied to humanities disciplines. The authors propose that there is an urgent need to strengthen the “scientific relationships” between heritage institutions, as well as enhancing links between the academic field of DH and LIS in order to improve teaching and research strategies in conjunction.",Journal of Documentation,2021
“Write the story you want to read”: world-queering through slash fanfiction creation,,,https://doi.org/10.1108/JD-11-2019-0217,"['Floegel, Diana']","Purpose This pilot study explores how queer slash fanfiction writers reorient cis/heteronormative entertainment media (EM) content to create queer information worlds. Design/methodology/approach Constructivist grounded theory was employed to explore queer individuals' slash fanfiction reading and creation practices. Slash fanfiction refers to fan-written texts that recast cis/heteronormative content with queer characters, relationships, and themes. Theoretical sampling drove ten semi-structured interviews with queer slash writers and content analysis of both Captain America slash and material features found on two online fanfiction platforms, Archive of Our Own and fanfiction.net. “Queer” serves as a theoretical lens through which to explore non-cis/heteronormative perspectives on gender and sexuality. Findings Participants' interactions with and creation of slash fanfiction constitute world-queering practices wherein individuals reorient cis/heteronormative content, design systems, and form community while developing their identities over time. Findings suggest ways that queer creators respond to, challenge, and reorient cis/heteronormative narratives perpetuated by EM and other information sources, as well as ways their practices are constrained by structural power dynamics. Research limitations/implications This initial data collection only begins to explore the topic with ten interviews. The participant sample lacks racial diversity while the content sample focuses on one fandom. However, results suggest future directions for theoretical sampling that will continue to advance constructs developed from the data. Originality/value This research contributes to evolving perspectives on information creation and queer individuals' information practices. In particular, findings expand theoretical frameworks related to small worlds and ways in which members of marginalized populations grapple with exclusionary normativity.",Journal of Documentation,2020
Situational relevance of music information modes,,,https://doi.org/10.1108/JD-10-2017-0149,"['Rousi, Antti Mikael', 'Savolainen, Reijo', 'Harviainen, Maaria', 'Vakkari, Pertti']","Purpose The purpose of this paper is to elaborate the picture of situational relevance of music information from a performing musician’s point of view by delving into its diverse layers within the context of Doctor of Music students’ information seeking. Design/methodology/approach Music-related information is approached through six modes that categorize music information sources based on their levels of abstraction. Situational relevance of the modes of music information is examined in relation to the situational requirements of accomplishing a dissertation on music task consisting of both a series of concerts and a written thesis. The empirical material was collected by interviewing Finnish doctoral students in the field of music performance. Findings A set of situational relevance types related to each mode of music information were identified. As a whole, the differences between the perceived importance of the modes varied a little. Research limitations/implications The goal of the present paper is not to create a generalizable list of situational relevance types suggested by modes of music information, but to show that the modes may suggest diverse situational relevance types of their own when evaluated by performing musicians. Originality/value The present paper provides a rare account on performing musicians’ vocational and school-related information seeking. For studies of music information retrieval, the present paper offers new contextual facets explaining why diverse music information could be relevant to musicians. For studies of music-related information seeking, the present study offers new insights on why performing musicians have information needs regarding certain types of music information sources.",Journal of Documentation,2018
Setting our bibliographic references free: towards open citation data,,,https://doi.org/10.1108/JD-12-2013-0166,"['Peroni, Silvio', 'Dutton, Alexander', 'Gray, Tanya', 'Shotton, David']","Purpose  – Citation data needs to be recognised as a part of the Commons – those works that are freely and legally available for sharing – and placed in an open repository. The paper aims to discuss this issue.  Design/methodology/approach  – The Open Citation Corpus is a new open repository of scholarly citation data, made available under a Creative Commons CC0 1.0 public domain dedication and encoded as Open Linked Data using the SPAR Ontologies.  Findings  – The Open Citation Corpus presently provides open access (OA) to reference lists from 204,637 articles from the OA Subset of PubMed Central, containing 6,325,178 individual references to 3,373,961 unique papers.  Originality/value  – Scholars, publishers and institutions may freely build upon, enhance and reuse the open citation data for any purpose, without restriction under copyright or database law.",Journal of Documentation,2015
Fighting fake news: exploring George Orwell's relationship to information literacy,,,https://doi.org/10.1108/JD-11-2019-0223,"['Haggar, Ellen']","Purpose The purpose of this paper is to analyse George Orwell's diaries through an information literacy lens. Orwell is well known for his dedication to freedom of speech and objective truth, and his novel Nineteen Eighty-Four is often used as a lens through which to view the fake news phenomenon. This paper will examine Orwell's diaries in relation to UNESCO's Five Laws of Media and Information Literacy to examine how information literacy concepts can be traced in historical documents. Design/methodology/approach This paper will use a content analysis method to explore Orwell's relationship to information literacy. Two of Orwell's political diaries from the period 1940–42 were coded for key themes related to the ways in which Orwell discusses and evaluates information and news. These themes were then compared to UNESCO Five Laws of Media and Information Literacy. Textual analysis software NVivo 12 was used to perform keyword searches and word frequency queries in the digitised diaries. Findings The findings show that while Orwell's diaries and the Five Laws did not share terminology, they did share ideas on bias and access to information. They also extend the history of information literacy research and practice by illustrating how concerns about the need to evaluate information sources are represented within historical literature. Originality/value This paper combines historical research with textual analysis to bring a unique historical perspective to information literacy, demonstrating that “fake news” is not a recent phenomenon, and that the tools to fight it may also lie in historical research.",Journal of Documentation,2020
Knowledge management issues for online organisations: ‘communities of practice’ as an exploratory framework,,,https://doi.org/10.1108/EUM0000000007077,"['Davenport, Elisabeth']","Communities of practice have been identified as sites where knowledge is created in organisations. The author reviews studies of situated learning and situated action and suggests that these two activities may characterise the learning process in communities of practice where they are supported by a distinctive ‘social’ infrastructure. She analyses recent fieldwork in three online communities (a digital library reference service, a virtual enterprise and an online shopping group) to discover to what extent they may be described as communities of practice, and to establish how they support participants’ learning.",Journal of Documentation,2001
"Rereading, art-making and other joys: toward a theory of information, repetition and the good life",,,https://doi.org/10.1108/JD-01-2021-0011,"['Gorichanaz, Tim']","Purpose This paper offers a conceptual discussion of repetition and joy in the context of information and their relation to the good life. Design/methodology/approach Joy is defined as an integrative element of the good life which can be achieved through repetition. This may be surprising, given that our most ready-to-hand associations with “repetition” are negative in tenor rather than positive. Building on the work of repetition theorists Søren Kierkegaard and Gertrude Stein, we can discern three different forms of repetition: that looking backwards (e.g. rereading), that looking forwards (e.g. art-making) and that looking inwards (e.g. chiasmus). Throughout this paper, information-related examples are given and discussed as vignettes that move the conversation forward. Findings These examples lead to a nascent theory of why the repetition of information can spark joy and not just tedium. First, its stability and predictability that instill comfort in us. Second, its unifying force that brings us to experience wholeness. Third, its invitation to keep the repetition going through creation, further helping us feel part of the world. And finally, its paradoxicality—as strict repetition is impossible—which requires change, paving the way for satisfying surprises and delights. Originality/value Repetition is a ubiquitous and theoretically interesting phenomenon when it comes to information, and though it is implicit in some information science research, it has not yet been theorized directly. Moreover, this paper connects this issue to an emerging “positive” orientation in information studies.",Journal of Documentation,2021
Adopting situationally relevant modes of music information at different stages of information-seeking processes,,,https://doi.org/10.1108/JD-12-2018-0210,"['Rousi, Antti Mikael', 'Savolainen, Reijo', 'Vakkari, Pertti']","Purpose The purpose of this paper is to elaborate the picture of situational relevance by examining how modes of music information are viewed as situationally relevant at different stages of information-seeking processes among music students. Design/methodology/approach Empirical data of the present longitudinal study were collected in two phases by utilizing questionnaire and interview methods. Informants comprised of 14 university-level music students representing the fields of music performance, music education and music theory and composition. Modes of music information were approached through the information typology presented by Rousi, Savolainen and Vakkari. Findings The findings indicate that not only the modes of music information were seen as situationally relevant for different reasons by the three participating music student groups when at the beginning of their tasks, but also that the perceived situational relevance of the information modes underwent changes as their tasks progressed to focus formulation and post-focus stages. Research limitations/implications Due to the small number of participants, further research is needed to verify the results concerning the differences in information-seeking processes between diverse music student groups. Originality/value The paper showcases that approaching music information through frameworks that classify information sources at diverse levels of abstraction enables an accurate description of information-seeking processes and illuminates context-sensitive development of situational relevance of music information of diverse modes.",Journal of Documentation,2019
"Research status, hotspots and trends for information behavior in China using bibliometric and co-word analysis",,,https://doi.org/10.1108/JD-10-2016-0125,"['Shen, Lining', 'Xiong, Bing', 'Hu, Jiming']","Purpose The purpose of this paper is to analyze the research status and outputs of information behavior in China in order to reveal its in-depth research pattern and trends. Design/methodology/approach The author collected literature during the past 29 years from China Academic Journal Network Publishing Database. Bibliometric analysis, including publication growth analysis, core authors and collaborative degree analysis, core journals analysis, and institutions distribution, was performed. The temporal visualization map of burst term was drawn, and the co-occurrence matrix of these keywords was analyzed by the hierarchical cluster analysis, strategic diagram, and social network analysis. Findings The earliest article on information behavior in China was published in 1987. And the number of articles has risen continually since then, which follows the logical growth law of literature. The collaborative degree of authors is on the rise in general. The distribution of these articles obeys the Bradford’s Law of Scattering. School of Information Management of Wuhan University remarkably ranks the top in most publications. In all, ten important research directions were identified, which are in the imbalanced development. And a newly appearing topic with great potential for further development, namely information seeking and information security, is identified. Originality/value This study provides important insights into the research status and trends on information behavior in China, which might provide a potential guide for the future research.",Journal of Documentation,2017
A knowledge organization framework for influencing tourism-centered place-making,,,https://doi.org/10.1108/JD-12-2020-0220,"['Ghosh, Shiv Shakti', 'Chatterjee, Sunil Kumar']","Purpose This study demonstrates the synthesis of a knowledge organization framework from tourist reviews and an ontological model with its implementation in graph database, which is based on this framework. The aim is to influence place-making outcomes at tourist destinations. Design/methodology/approach The faceted classification approach has been used for generating and validating the framework based on online reviews about urban tourism parks. The framework was used to develop an ontology using Protégé ontology editor that was implemented using GraphDB. Findings Three fundamental facet categories, namely Component, Aspect and Outcome, each consisting of several sub-facets, were synthesized from the analyses of the reviews. Besides helping in constructing the ontology, the analysis also helped in calculating an importance-score for the reviews that helped in ranked information retrieval. Research limitations/implications The analyses of the reviews were done manually and may carry human bias. But it is robust as it is based on a canonical faceted methodology. Practical implications It is envisaged that this study will help tourist destination planners in decision-making by easing the utilization of tourist generated reviews by the knowledge management systems they use. Opinions of tourists will be induced in destination planning thereby helping in the production of quality “places.” Originality/value The presented faceted framework aims to specifically aid knowledge organization pertaining to online reviews related to tourist destinations. The focus is on organizing knowledge to facilitate tourism development for better place-making outcomes, which is an important area of research though it has little contributions.",Journal of Documentation,2022
What people study when they study Tumblr,,,https://doi.org/10.1108/JD-08-2016-0101,"['Attu, Rose', 'Terras, Melissa']","Purpose Since its launch in 2007, research has been carried out on the popular social networking website Tumblr. The purpose of this paper is to identify published Tumblr-based research, classify it to understand approaches and methods, and provide methodological recommendations for others. Design/methodology/approach Research regarding Tumblr was identified. Following a review of the literature, a classification scheme was adapted and applied, to understand research focus. Papers were quantitatively classified using open coded content analysis of method, subject, approach, and topic. Findings The majority of published work relating to Tumblr concentrates on conceptual issues, followed by aspects of the messages sent. This has evolved over time. Perceived benefits are the platform’s long-form text posts, ability to track tags, and the multimodal nature of the platform. Severe research limitations are caused by the lack of demographic, geo-spatial, and temporal metadata attached to individual posts, the limited Advanced Programming Interface, restricted access to data, and the large amounts of ephemeral posts on the site. Research limitations/implications This study focusses on Tumblr: the applicability of the approach to other media is not considered. The authors focus on published research and conference papers: there will be book content which was not found using the method. Tumblr as a platform has falling user numbers which may be of concern to researchers. Practical implications The authors identify practical barriers to research on the Tumblr platform including lack of metadata and access to big data, explaining why Tumblr is not as popular as Twitter in academic studies. Social implications This paper highlights the breadth of topics covered by social media researchers, which allows us to understand popular online platforms. Originality/value There has not yet been an overarching study to look at the methods and purpose of those who study Tumblr. The authors identify Tumblr-related research papers from the first appearing in 2011 July until 2015 July. The classification derived here provides a framework that can be used to analyse social media research, and in which to position Tumblr-related work, with recommendations on benefits and limitations of the platform for researchers.",Journal of Documentation,2017
Feeling documents: toward a phenomenology of information seeking,,,https://doi.org/10.1108/JD-09-2016-0113,"['Keilty, Patrick', 'Leazer, Gregory']","Purpose The purpose of this paper is to present two models of human cognition. The first narrow model concentrates on the mind as an information-processing apparatus, and interactions with information as altering thought structures and filling gaps in knowledge. A second model incorporates elements of unconsciousness, embodiment and affect. The selection of one model over the other, often done tacitly, has consequences for subsequent models of information seeking and use. Design/methodology/approach A close reading of embodied engagements with pornography guided by existential phenomenology. Findings The paper develops a phenomenology of information seeking, centered primarily around the work of Merleau-Ponty, to justify a more expansive concept of cognition. The authors demonstrate the roles of affect and embodiment in document assessment and use, with a prolonged example in the realm of browsing pornography. Originality/value Models of information seeking and use need to account for diverse kinds of human-document interaction, to include documents such as music, film and comics that engage the emotions or are perceived through a broader band of sensory experience to include visual and auditory components. The authors consider how those human-document engagements form virtual communities based on the similarity of their members’ affective and embodied responses, which in turn inform the arrangements, through algorithms, of the relations of documents to each other. Less instrumental forms of information seeking and use – ones that incorporate elements of embodiment and affect – are characterized as esthetic experiences, following the definition of the esthetic provided by Dewey. Ultimately the authors consider, given the ubiquity of information seeking and its rhythm in everyday life, whether we can meaningfully characterize information seeking as a distinct human process.",Journal of Documentation,2018
Images as data – modelling data interactions in social science and humanities research,,,https://doi.org/10.1108/JD-08-2024-0195,"['Late, Elina', 'Matres, Inés', 'Sendra, Anna', 'Kumpulainen, Sanna']","Purpose The expanded reuse of images as research data in the social sciences and humanities necessitates the understanding of scholars’ real-life interactions with the type of data. The aim of this study is to analyse activities constituting image data interactions in social science and humanities research and to provide a model describing the data interaction process. Design/methodology/approach The study is based on interviews with 21 scholars from various academic backgrounds utilising digital and print images collected from external sources as empirical research data. Qualitative content analyses were executed to analyse image data interactions throughout the research process in three task types: contemporary, historical and computational research. Findings The findings further develop the task-based information interaction model (Järvelin et al., 2015) originally created to explain the information interaction process. The enhanced model presents five main image data interaction activities: Data gathering, Forming dataset, Working with data, Synthesizing and reporting and Concluding, with various sub-activities. The findings show the variety of image data interactions in different task types. Originality/value The developed model contributes to understanding critical points in image data interactions and provides a model for future research analysing research data interactions. The model may also be used, for example, in designing better research services and infrastructures by identifying support needs throughout the research process.",Journal of Documentation,2024
Towards a diversified knowledge organization system,,,https://doi.org/10.1108/JD-10-2018-0163,"['Zhitomirsky-Geffet, Maayan']","Purpose The need for inclusive and logically consistent representation of diverse and even confronting viewpoints on the domain knowledge has been widely discussed in the literature in the past decade. The purpose of this paper is to propose a generic model for building an open coherent diversified knowledge organization system (KOS). Design/methodology/approach The proposed model incorporates a generic epistemological component, the validity scope type, assigned to each statement in the constructed KOS. Statements are clustered by their association with various validity scope types into internally coherent subsystems. These subsystems form a knowledge organization network connected through the universal (consensual) subsystems with more than one validity scope type. The model extends the Galili’s Cultural Content Representation paradigm, which divides the knowledge content of a scientific theory into two confronting parts: body and periphery. Findings The knowledge organization network model makes it possible to comparatively examine similarities and differences among various viewpoints and theories on the domain knowledge. The presented approach conforms with the principle of Open Knowledge Network initiative for creation of open accessible knowledge. Practical implications The proposed model can be used for ontological reasoning by a variety of information services, such as ontology-based decision-support and learning systems, diversified search and customer management applications. Social implications The model enables explicit representation of social and cultural minority voices and historical knowledge in the KOS. Originality/value The main contribution of the proposed model is that it generalizes and enhances various previously proposed representations of epistemological aspects of KOS and allows for multiple inter-linked subsystems to coherently co-exist as part of the extensible network.",Journal of Documentation,2019
The role of historical and contextual knowledge in enterprise search,,,https://doi.org/10.1108/JD-08-2021-0170,"['Lykke, Marianne', 'Bygholm, Ann', 'Søndergaard, Louise Bak', 'Byström, Katriina']","Purpose The purpose of the study is to examine enterprise searching practices across different work areas and work tasks in an enterprise search system in an international biotechnology company. Design/methodology/approach A mixed-method approach studying employees' authentic search activities during a 4-month period by log data, questionnaire survey and interviews. The log data analysed the entire active searcher group, whereas the questionnaire and interviews focused on frequent searchers. Findings The three studies provided insight into the searching activities and an understanding of the way searchers used the enterprise search system to search for information as part of their work tasks. The data identified three searcher groups, each with specific search characteristics. Four work task types were identified, and for all four types the searchers applied a tracing searching technique with use of contextual and historical relationships as paths. Practical implications The findings point to the importance of knowledge on historical and contextual relations in enterprise search. Originality/value The work sheds new light on enterprise searchers' information search practices. A significant contribution is the identification of a tracing search method used in relation to four essential work task types. Another contribution is the importance of historical and contextual knowledge to support the tracing search and decide what paths to follow.",Journal of Documentation,2022
